Bike Name,Bike Brand,Bike Model,Bike Default Sport Types
Alibi,Specialized,Alibi 2018,""
Birdy GT,Birdy,GT MK3,""
Brompton G Line,Brompton,G Line,Ride
BYB P8,TERN,BYB P8 2022,""
Domane AL2,Trek,Domane Al2 2021,""
Domane SL6,Trek,Domane SL6,""
Jake the Snake,Kona,2020,""
Kickr Bike Shift,Wahoo,KICKR Bike Shift,Virtual Ride
Rapita,,,""
Roubaix Sport,Specialized,Roubaix Sport 2020,Handcycle|E-Bike Ride|Gravel Ride|Velomobile|Mountain Bike Ride|E-Mountain Bike Ride
Silex 300,Merida,Silex 300 2019,""
Sutra ULTD,Kona,Sutra ULTD 2021,""
Verge x11,Tern,Verge X11 2018?,""
따릉이,??,??,""
