Bike Name,Component Type,Component Brand,Component Model
Alibi,Frame,Specialized,Alibi 2018
Birdy GT,Frame,Birdy,GT MK3
Brompton G Line,Frame,Brompton,G Line
BYB P8,Frame,TERN,BYB P8 2022
Domane AL2,Frame,Trek,Domane Al2 2021
Domane SL6,Frame,Trek,Domane SL6
Jake the Snake,Frame,Kona,2020
Kickr Bike Shift,Frame,Wahoo,KICKR Bike Shift
Rapita,Frame,,
Roubaix Sport,Frame,Specialized,Roubaix Sport 2020
Roubaix Sport,Front Wheel,DT Swiss,PR1400 DB
Roubaix Sport,Rear Wheel,DT Swiss,PR1400 DB
Roubaix Sport,Front Tire,pirelli,cinturato velo 32c
Roubaix Sport,Rear Tire,pirelli,cinturato velo 32c
Roubaix Sport,Front Wheel,DT Swiss,R470db
Roubaix Sport,Front Brake Pads,Swissstop,레진패드
Roubaix Sport,Rear Brake Pads,Swissstop,레진패드
Roubaix Sport,Chain,,
Roubaix Sport,Rear Derailleur,Shimano,105 Long Cage
Roubaix Sport,Fork,Specialized,Roubaix Sport 2020
Roubaix Sport,Front Brake,Shimano,105 HRD
Roubaix Sport,Rear Brake,Shimano,105 HRD
Roubaix Sport,Crankset,PraxisWorks,Praxis Alba
Roubaix Sport,Front Derailleur,Shimano,105
Roubaix Sport,Front Brake Lever,Shimano,105 HRD
Roubaix Sport,Rear Brake Lever,Shimano,105 HRD
Roubaix Sport,Cassette,shimano,34t
Roubaix Sport,Front Tire,Pirelli,Cinturato 24C
Roubaix Sport,Rear Tire,Pirelli,Cinturato 24C
Roubaix Sport,Front Wheel,DT Swiss,ERC 1100 Dicut
Roubaix Sport,Rear Wheel,DT Swiss,ERC 1100 Dicut
Roubaix Sport,Rear Brake Pads,Swissstop,레진패드
Roubaix Sport,Front Brake Pads,Swissstop,레진패드
Roubaix Sport,Front Brake Pads,1,1
Roubaix Sport,Rear Brake Pads,1,1
Silex 300,Frame,Merida,Silex 300 2019
Sutra ULTD,Frame,Kona,Sutra ULTD 2021
Verge x11,Frame,Tern,Verge X11 2018?
따릉이,Frame,??,??
