Post Date,Post Summary,Post,Post URL,Photos
"Jun 24, 2025, 7:38:36 AM","","랜도너스 퍼머넌트 코스를 한눈에 볼 수 있는 사이트를 만들었습니다.
제가 코스선택할때 쓰려고 만들었는데
필요하신분께 도움이 되면 좋겠습니다.

3chan. kr/randonneur-course/","",media/b838f266-ba2c-41e0-8144-58e2a7ea3c8e.jpg|media/5c455a97-3378-418b-9106-fd0b7b7d8262.jpg|media/b4ff3b2e-9fe8-4b92-be2f-f181052b23db.jpg|media/a446de82-0797-49c8-ba08-e5469121e7cd.jpg|media/3f19124e-ef39-463a-a7ba-992400f310cd.jpg|media/f5656d6b-59b8-44b8-8703-cb8777d92fd7.jpg
"Oct 12, 2024, 4:12:35 AM","","11.4~8 월-금 일본 시마나미 카이도 라이딩
12.5-11 목-수 중국 하이난 라이딩
관심있는 분은 연락주세욥.","",""
"May 26, 2023, 7:35:37 AM",,,"",media/ceaf04f8-3919-49f1-8cf0-430a2582a2ae.jpg
"Aug 9, 2022, 8:14:59 AM",,이틀 정도만 로라 대여해주실분 구합니다!  사례O,"",""
"Aug 5, 2022, 4:57:31 PM",,"8월 16일 화요일
태백 만항재 두문동재 갑니다.

같이 가실분?
정산 1/n+5000","",""
"Jul 1, 2022, 7:22:35 AM",,"2022.08.13~15 광복절 기념 KR8848 에베레스팅 챌린지
각자의 업힐에서 따로, 또 함께하실분 모집합니다! (즈위프트포함)
​
상품
라이딩
8848이상 - 랜덤 1명 아씨오마 듀오
4424이상 - 랜덤 1명 타이어 1셋트 (2개 선택)
----------
러닝
4424이상 - 랜덤 1명 30만원 이하 러닝화선택
​
1. 스트라바 클럽 가입 및
2. everesting.cc 공식인증 필수
​
스트라바 클럽 (이벤트용)
https://www.strava.com/clubs/1059527
https://strava.app.link/VvY65pWIcrb
﻿","",""
"Jun 27, 2022, 1:52:20 PM",,"22.08.13~15 광복절 기념 
가상/필드 에베레스팅 기획중입니다.
(everesting.cc 에서 필리핀 독립기념일 단체 에베레스팅 기념져지 출시 보고 참고)
Andy Van Bergen과 쇼부보는 중인데 참여할 커뮤니티/개인 모집합니다~~!

상품
8848이상 - 랜덤 1명 아씨오마 듀오
4424이상 - 랜덤 1명 타이어 1셋트 (2개 선택)
스트라바 클럽 가입 및 everesting.cc 공식인증 필수.
https://www.strava.com/clubs/1059527

#에베레스팅이란?
에베레스트 산의 고도 8848m를 자전거로 또는 달려서 오르는 챌린지입니다.
1개의 업힐을 정하여 반복해야하고, 중간에 자면 안됩니다.
국내에선 클리앙 자전거당 '크레이슨'님이 최초로 10000m를 달성하였습니다.","",""
"Dec 19, 2021, 4:09:39 PM",,2021 스포츠와 함께한 나의 한 해,"",media/9f6ed6c5-c575-4d23-a44f-4a0ac476bb9a.jpg|media/aa7d1c2b-dec2-4764-bfc6-a4fcb8f05ac6.jpg|media/caac1e82-59a8-4071-b50b-e6124fd569c6.jpg|media/822a79e3-3bb9-4523-aef4-5a7981a20466.jpg|media/411aa91b-84e9-4df4-b936-f0914da3eda4.jpg|media/5f0978a5-34b4-4efe-a8f1-959b143e4a16.jpg|media/10724f57-8d53-455c-a107-a2e59dcd47eb.jpg|media/40a29a61-15b0-4849-876b-e56468021b3e.jpg|media/0b178db4-bd77-4b89-9195-95f262f10533.jpg|media/6e7cecd1-7a8a-4e54-8e4c-58070db92735.jpg|media/917b367f-7295-41de-8529-55a57657ab88.jpg|media/0238d362-b4ac-42f2-a8f7-8594c1ab8945.jpg|media/82bf7ac1-e280-4fb8-b51f-e3d92b282637.jpg
"Nov 21, 2021, 1:23:15 PM",,"2022년도 4월 23~24일 Fleche 멤버 모집합니다.

코스는 광주출발 광주도착의 최대한 짧고(360km) 업힐이 없게 구성할 예정입니다. 
속도는 평지기준 26내외 생각중입니다.  

전날 제차(자전거포함5명가능)로 미리 광주에 가서 숙박 후, 코스 다돌고 숙박끊어서 낮에 자다가 서울로 복귀 예정입니다.

현재 멤버
서상현
송영진

참고 링크
http://www.korearandonneurs.kr:8080/jsp/randonneurs/fleche_2022","",""
"Sep 28, 2021, 3:37:18 PM",,10월19일 오후부터 10월22일 아침까지 도선사 101회전에 도전합니다.  심심하신분 놀러오세욤.,"",""
